Name: CCTV-1 综合, URL: http://221.221.167.14:8888/rtp/239.3.1.129:8008$组播源, Date: None, Resolution: None, Response Time: 2640 ms
Name: CCTV-1 综合, URL: http://60.210.100.54:352/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 2313 ms
Name: CCTV-1 综合, URL: http://120.76.248.139/live/bfgd/4200000488.m3u8$订阅源, Date: None, Resolution: None, Response Time: 2206 ms
Name: CCTV-1 综合, URL: http://218.13.170.98:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 3219 ms
Name: CCTV-1 综合, URL: http://101.23.216.69:8090/hls/9/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 2909 ms
Name: CCTV-1 综合, URL: http://202.100.46.58:9901/tsfile/live/1000_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 2520 ms
Name: CCTV-1 综合, URL: http://182.92.109.190:1668/72/72.php?id=cctv1$订阅源, Date: None, Resolution: None, Response Time: 4643 ms
Name: CCTV-1 综合, URL: http://113.140.86.162:8009/hls/501/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 2301 ms
Name: CCTV-1 综合, URL: http://60.2.190.206:4000/udp/239.253.92.83:8012$订阅源, Date: None, Resolution: None, Response Time: 1459 ms
Name: CCTV-1 综合, URL: http://111.14.181.15:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 2916 ms
Name: CCTV-1 综合, URL: http://116.117.104.29:8096/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 2270 ms
Name: CCTV-1 综合, URL: http://119.36.148.115:59901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 3541 ms
Name: CCTV-1 综合, URL: http://1732e975z9.zicp.fun:8082/hls/1/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 3660 ms
Name: CCTV-1 综合, URL: http://220.164.192.48:50085/tsfile/live/0002_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 2351 ms
Name: CCTV-1 综合, URL: http://58.220.219.14:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 6451 ms
Name: CCTV-1 综合, URL: http://kxrj.site:1333/86/mg.php?id=cctv1$订阅源, Date: None, Resolution: None, Response Time: 3879 ms
Name: CCTV-1 综合, URL: http://120.0.52.238:8086/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 1871 ms
Name: CCTV-1 综合, URL: http://58.48.37.158:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Resolution: None, Response Time: 2077 ms
Name: CCTV-1 综合, URL: http://120.0.52.162:8086/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 1779 ms
Name: CCTV-1 综合, URL: https://fmbox.cc/%E5%85%AC%E4%BC%97%E5%8F%B7%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/tv/douyu.php?c$订阅源, Date: None, Resolution: None, Response Time: 1735 ms
Name: CCTV-1 综合, URL: http://123.117.237.15:8680/udp/239.3.1.129:8008$订阅源, Date: None, Resolution: None, Response Time: 1186 ms
Name: CCTV-1 综合, URL: http://115.60.241.249:2000/rtp/225.1.4.73:1102$组播源, Date: None, Resolution: None, Response Time: 1091 ms
Name: CCTV-1 综合, URL: http://120.234.5.29:6000/udp/239.20.0.104:2006$订阅源, Date: None, Resolution: None, Response Time: 3680 ms
Name: CCTV-1 综合, URL: http://119.125.134.225:9902/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 6492 ms
Name: CCTV-1 综合, URL: http://175.173.198.22:9010/udp/232.0.0.27:1234$订阅源, Date: None, Resolution: None, Response Time: 2160 ms
Name: CCTV-1 综合, URL: http://114.243.102.150:8888/udp/239.3.1.129:8008$订阅源, Date: None, Resolution: None, Response Time: 4152 ms
Name: CCTV-1 综合, URL: http://115.48.63.106:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 6111 ms
Name: CCTV-1 综合, URL: http://114.244.237.230:7088/udp/239.3.1.129:8008$订阅源, Date: None, Resolution: None, Response Time: 2293 ms
Name: CCTV-1 综合, URL: http://124.230.56.27:55555/udp/239.76.253.151:9000$订阅源, Date: None, Resolution: None, Response Time: 3300 ms
Name: CCTV-1 综合, URL: http://123.113.189.90:8001/udp/239.3.1.129:8008$订阅源, Date: None, Resolution: None, Response Time: 3316 ms
Name: CCTV-1 综合, URL: http://124.231.215.142:9999/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 3093 ms
Name: CCTV-1 综合, URL: http://123.138.22.30:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 3463 ms
Name: CCTV-1 综合, URL: http://114.254.85.102:8888/udp/239.3.1.129:8008$订阅源, Date: None, Resolution: None, Response Time: 1554 ms
Name: CCTV-1 综合, URL: http://115.171.216.246:4000/udp/225.1.8.101:8080$订阅源, Date: None, Resolution: None, Response Time: 1284 ms
Name: CCTV-1 综合, URL: http://113.111.17.180:8888/udp/239.77.0.86:5146$订阅源, Date: None, Resolution: None, Response Time: 1130 ms
